City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Hastings,GB,2022-04-13 16:23:17,50.8552,0.5729,64.98,79,7,10.6
194,Ostrovnoy,RU,2022-04-13 16:25:43,68.0531,39.5131,24.17,86,100,3.44
195,Burns Lake,CA,2022-04-13 16:25:44,54.2331,-125.7533,17.02,55,86,6.44
196,Necochea,AR,2022-04-13 16:23:55,-38.5473,-58.7368,62.29,46,2,12.48
197,Tuatapere,NZ,2022-04-13 16:25:45,-46.1333,167.6833,43.84,90,77,5.03
198,Boyolangu,ID,2022-04-13 16:25:45,-8.1181,111.8935,75.22,89,34,1.5
199,Baykit,RU,2022-04-13 16:25:46,61.67,96.37,34.36,89,100,12.53
200,Severnoye,RU,2022-04-13 16:25:46,56.3491,78.3619,32.92,95,30,6.49
201,Finale Emilia,IT,2022-04-13 16:25:47,44.8346,11.2939,66.94,43,96,9.1
202,Kenai,US,2022-04-13 16:25:47,60.5544,-151.2583,34.09,96,0,5.75
203,Beatrice,US,2022-04-13 16:25:47,40.2681,-96.747,36.88,47,0,24.16
204,Cooma,AU,2022-04-13 16:25:48,-36.2333,149.1333,38.97,100,100,4.61
205,Shirokiy,RU,2022-04-13 16:25:49,49.758,129.523,28.81,96,99,4.94
206,Grand Gaube,MU,2022-04-13 16:25:49,-20.0064,57.6608,78.39,82,26,10.0
207,Ventspils,LV,2022-04-13 16:25:50,57.3894,21.5606,48.13,43,0,4.61
208,Usinsk,RU,2022-04-13 16:25:50,65.9939,57.5281,33.01,98,100,11.12
209,Iqaluit,CA,2022-04-13 16:25:51,63.7506,-68.5145,2.93,70,20,23.02
210,Tarakan,ID,2022-04-13 16:25:51,3.3,117.6333,81.14,80,100,7.4
211,Camacha,PT,2022-04-13 16:25:51,33.0833,-16.3333,62.02,63,40,12.66
212,Chuy,UY,2022-04-13 16:25:52,-33.6971,-53.4616,71.51,36,46,7.78
213,Broome,US,2022-04-13 16:25:52,42.2506,-75.833,70.99,52,100,10.36
214,San Quintin,MX,2022-04-13 16:25:53,30.4833,-115.95,59.56,50,20,7.83
215,Seminole,US,2022-04-13 16:24:55,28.7086,-81.2081,83.41,63,0,10.36
216,Ipaba,BR,2022-04-13 16:25:54,-19.4136,-42.4194,89.98,51,74,2.3
217,Stephenville Crossing,CA,2022-04-13 16:25:54,48.5,-58.4318,39.33,75,100,16.11
218,Bengkulu,ID,2022-04-13 16:25:55,-3.8004,102.2655,77.52,85,19,3.76
219,Fortuna Foothills,US,2022-04-13 16:25:55,32.6578,-114.4119,68.22,12,0,6.91
220,Walvis Bay,NA,2022-04-13 16:25:56,-22.9575,14.5053,65.35,72,35,12.66
221,Hobyo,SO,2022-04-13 16:25:56,5.3505,48.5268,83.03,73,62,13.94
222,Babu,CN,2022-04-13 16:25:57,24.4167,111.5167,62.78,87,0,5.01
223,Comodoro Rivadavia,AR,2022-04-13 16:23:49,-45.8667,-67.5,66.06,42,0,17.27
224,Kerema,PG,2022-04-13 16:25:57,-7.9631,145.7785,79.09,85,97,7.0
225,Margate,GB,2022-04-13 16:25:58,51.3813,1.3862,64.11,77,82,12.28
226,Bronnoysund,NO,2022-04-13 16:25:58,65.4625,12.1997,41.0,75,40,8.05
227,Lompoc,US,2022-04-13 16:25:59,34.6391,-120.4579,60.01,49,0,18.99
228,Hofn,IS,2022-04-13 16:25:59,64.2539,-15.2082,41.02,81,100,8.05
229,Saldanha,ZA,2022-04-13 16:26:00,-33.0117,17.9442,69.85,92,100,18.43
230,Tecoanapa,MX,2022-04-13 16:26:00,16.5167,-98.75,85.03,60,78,6.76
231,Yar-Sale,RU,2022-04-13 16:26:01,66.8333,70.8333,33.73,100,100,3.83
232,Bonavista,CA,2022-04-13 16:27:02,48.6499,-53.1147,31.82,94,100,25.55
233,Fairbanks,US,2022-04-13 16:27:02,64.8378,-147.7164,31.24,69,0,0.0
234,Luderitz,NA,2022-04-13 16:27:03,-26.6481,15.1594,66.76,73,18,14.41
235,Kungurtug,RU,2022-04-13 16:27:03,50.5994,97.5228,7.61,90,54,1.77
236,Ambilobe,MG,2022-04-13 16:27:04,-13.2,49.05,76.26,85,84,1.25
237,Crotone,IT,2022-04-13 16:27:05,39.0851,17.1178,60.75,72,0,5.75
238,Xining,CN,2022-04-13 16:27:05,36.6167,101.7667,41.32,49,99,11.18
239,Bulgan,MN,2022-04-13 16:27:06,48.8125,103.5347,21.83,86,90,8.63
240,Inhambane,MZ,2022-04-13 16:27:06,-23.865,35.3833,80.58,89,20,12.66
241,Diban,SY,2022-04-13 16:27:07,35.0365,40.5167,64.92,17,6,9.84
242,Kurilsk,RU,2022-04-13 16:27:07,45.2333,147.8833,29.7,87,100,11.45
243,Ola,RU,2022-04-13 16:27:08,59.5833,151.2833,15.46,70,100,10.94
244,Esna,EG,2022-04-13 16:27:08,25.2934,32.554,86.02,10,32,13.06
245,Jian,CN,2022-04-13 16:27:09,27.1172,114.9793,61.56,90,69,4.38
246,Sungaipenuh,ID,2022-04-13 16:27:09,-2.0833,101.3833,65.55,98,98,1.21
247,Curuca,BR,2022-04-13 16:27:10,-0.7289,-47.8481,80.33,90,100,6.46
248,Waitati,NZ,2022-04-13 16:27:10,-45.75,170.5667,47.8,85,2,3.49
249,Sao Filipe,CV,2022-04-13 16:27:11,14.8961,-24.4956,72.0,73,34,14.65
250,Nuevo Progreso,MX,2022-04-13 16:27:11,23.1667,-97.95,84.47,57,40,14.34
251,Chumikan,RU,2022-04-13 16:27:12,54.7183,135.315,6.64,96,36,5.88
252,Tahoua,NE,2022-04-13 16:27:12,14.8888,5.2692,105.78,15,20,6.91
253,Bosaso,SO,2022-04-13 16:27:13,11.2842,49.1816,83.12,63,0,0.78
254,Goderich,CA,2022-04-13 16:27:13,43.7501,-81.7165,66.52,72,100,19.57
255,Pierre,US,2022-04-13 16:27:14,44.3683,-100.351,32.05,64,100,32.21
256,Szabadszallas,HU,2022-04-13 16:27:14,46.8758,19.2232,62.78,45,0,7.23
257,Miracema Do Tocantins,BR,2022-04-13 16:27:15,-9.5618,-48.3967,90.5,57,5,0.69
258,Kotka,FI,2022-04-13 16:27:15,60.4664,26.9458,45.66,80,84,6.2
259,Lakes Entrance,AU,2022-04-13 16:27:16,-37.8811,147.981,54.09,90,5,5.91
260,Port Jervis,US,2022-04-13 16:27:16,41.3751,-74.6927,75.88,60,88,7.09
261,Chulman,RU,2022-04-13 16:27:17,56.8479,124.9104,3.09,98,97,2.59
262,Pisco,PE,2022-04-13 16:27:17,-13.7,-76.2167,69.03,73,5,8.05
263,Bytosh,RU,2022-04-13 16:27:18,53.8186,34.0912,39.34,89,100,12.03
264,Warrnambool,AU,2022-04-13 16:23:02,-38.3833,142.4833,54.81,90,24,8.3
265,Ugoofaaru,MV,2022-04-13 16:27:19,5.6667,73.0,84.78,71,99,13.6
266,Saint Anthony,US,2022-04-13 16:27:19,45.0205,-93.218,40.98,89,100,20.71
267,Putignano,IT,2022-04-13 16:27:20,40.8518,17.1213,62.08,47,0,11.5
268,Buala,SB,2022-04-13 16:27:20,-8.145,159.5921,79.48,78,34,5.79
269,Kuytun,RU,2022-04-13 16:27:21,54.3419,101.5036,28.45,72,0,3.18
270,Rio Gallegos,AR,2022-04-13 16:27:21,-51.6226,-69.2181,62.65,39,20,14.97
